1
exp/gaea_Peru_recoverjobs.json;643
ARGS
exp/gaea_Peru_recoverjobs.json
using the following metadata file:
exp/gaea_Peru_recoverjobs.json
number of jobs submitted:
643
numjob = 635, jobid = 975, nphotons = 100, cosz = -0.55, simulation time = 0.9711866696675618 minutes
numjob = 612, jobid = 924, nphotons = 100, cosz = -0.85, simulation time = 0.9744184692700704 minutes
numjob = 559, jobid = 841, nphotons = 100, cosz = -0.7, simulation time = 0.9778052369753519 minutes
numjob = 616, jobid = 951, nphotons = 100, cosz = -0.25, simulation time = 0.9784649173418681 minutes
numjob = 618, jobid = 953, nphotons = 100, cosz = -0.25, simulation time = 0.9791220625241598 minutes
numjob = 614, jobid = 949, nphotons = 100, cosz = -0.25, simulation time = 0.9794043143590291 minutes
numjob = 639, jobid = 982, nphotons = 100, cosz = -0.55, simulation time = 0.9805692394574483 minutes
numjob = 624, jobid = 964, nphotons = 100, cosz = -0.4, simulation time = 0.9805363059043884 minutes
numjob = 386, jobid = 595, nphotons = 100, cosz = -0.25, simulation time = 0.9804157177607219 minutes
numjob = 336, jobid = 518, nphotons = 100, cosz = -0.25, simulation time = 0.9807766119639079 minutes
numjob = 619, jobid = 956, nphotons = 100, cosz = -0.25, simulation time = 0.9809717456499736 minutes
numjob = 513, jobid = 770, nphotons = 100, cosz = -0.7, simulation time = 0.9810573895772298 minutes
numjob = 615, jobid = 950, nphotons = 100, cosz = -0.25, simulation time = 0.9810324788093567 minutes
numjob = 631, jobid = 971, nphotons = 100, cosz = -0.4, simulation time = 0.981257160504659 minutes
numjob = 568, jobid = 854, nphotons = 100, cosz = -0.85, simulation time = 0.9813252250353496 minutes
numjob = 481, jobid = 738, nphotons = 100, cosz = -0.25, simulation time = 0.9811872045199076 minutes
numjob = 141, jobid = 185, nphotons = 100, cosz = -0.55, simulation time = 0.9817834496498108 minutes
numjob = 628, jobid = 968, nphotons = 100, cosz = -0.4, simulation time = 0.982179601987203 minutes
numjob = 85, jobid = 107, nphotons = 100, cosz = -0.4, simulation time = 0.982168968518575 minutes
numjob = 622, jobid = 962, nphotons = 100, cosz = -0.4, simulation time = 0.9822850545247396 minutes
numjob = 636, jobid = 976, nphotons = 100, cosz = -0.55, simulation time = 0.9823561271031698 minutes
numjob = 531, jobid = 812, nphotons = 100, cosz = -0.25, simulation time = 0.9827308972676595 minutes
numjob = 502, jobid = 759, nphotons = 100, cosz = -0.55, simulation time = 0.9825743317604065 minutes
numjob = 632, jobid = 972, nphotons = 100, cosz = -0.55, simulation time = 0.9826384504636129 minutes
numjob = 621, jobid = 961, nphotons = 100, cosz = -0.4, simulation time = 0.982712992032369 minutes
numjob = 522, jobid = 782, nphotons = 100, cosz = -0.85, simulation time = 0.9831224004427592 minutes
numjob = 81, jobid = 103, nphotons = 100, cosz = -0.4, simulation time = 0.983231262365977 minutes
numjob = 142, jobid = 186, nphotons = 100, cosz = -0.55, simulation time = 0.9833512862523397 minutes
numjob = 637, jobid = 977, nphotons = 100, cosz = -0.55, simulation time = 0.9833879272143046 minutes
numjob = 557, jobid = 838, nphotons = 100, cosz = -0.55, simulation time = 0.9838873624801636 minutes
numjob = 84, jobid = 106, nphotons = 100, cosz = -0.4, simulation time = 0.9840589046478272 minutes
numjob = 50, jobid = 72, nphotons = 100, cosz = -0.1, simulation time = 0.9835695425669352 minutes
numjob = 460, jobid = 693, nphotons = 100, cosz = -0.55, simulation time = 0.9836310704549154 minutes
numjob = 466, jobid = 699, nphotons = 100, cosz = -0.7, simulation time = 0.983642594019572 minutes
numjob = 567, jobid = 852, nphotons = 100, cosz = -0.85, simulation time = 0.9842226187388102 minutes
numjob = 418, jobid = 627, nphotons = 100, cosz = -0.7, simulation time = 0.9839458505312602 minutes
numjob = 421, jobid = 630, nphotons = 100, cosz = -0.7, simulation time = 0.9842769265174866 minutes
numjob = 496, jobid = 753, nphotons = 100, cosz = -0.4, simulation time = 0.9840410749117533 minutes
numjob = 201, jobid = 264, nphotons = 100, cosz = -0.7, simulation time = 0.9843681295712788 minutes
numjob = 203, jobid = 266, nphotons = 100, cosz = -0.7, simulation time = 0.9845224221547445 minutes
numjob = 419, jobid = 628, nphotons = 100, cosz = -0.7, simulation time = 0.9845196604728699 minutes
numjob = 452, jobid = 685, nphotons = 100, cosz = -0.55, simulation time = 0.9842636624972025 minutes
numjob = 564, jobid = 848, nphotons = 100, cosz = -0.7, simulation time = 0.9844894448916117 minutes
numjob = 406, jobid = 615, nphotons = 100, cosz = -0.55, simulation time = 0.9847429831822713 minutes
numjob = 630, jobid = 970, nphotons = 100, cosz = -0.4, simulation time = 0.9850158770879109 minutes
numjob = 329, jobid = 478, nphotons = 100, cosz = -0.55, simulation time = 0.9848626931508382 minutes
numjob = 561, jobid = 843, nphotons = 100, cosz = -0.7, simulation time = 0.9850847085316976 minutes
numjob = 79, jobid = 101, nphotons = 100, cosz = -0.4, simulation time = 0.9852672139803569 minutes
numjob = 598, jobid = 905, nphotons = 100, cosz = -0.55, simulation time = 0.9847361048062643 minutes
numjob = 469, jobid = 702, nphotons = 100, cosz = -0.7, simulation time = 0.9848013559977213 minutes
numjob = 599, jobid = 906, nphotons = 100, cosz = -0.55, simulation time = 0.9852164268493653 minutes
numjob = 534, jobid = 815, nphotons = 100, cosz = -0.25, simulation time = 0.9852071404457092 minutes
numjob = 32, jobid = 32, nphotons = 100, cosz = -0.4, simulation time = 0.9854480067888896 minutes
numjob = 573, jobid = 880, nphotons = 100, cosz = -0.25, simulation time = 0.9855707128842671 minutes
numjob = 605, jobid = 912, nphotons = 100, cosz = -0.7, simulation time = 0.9847034454345703 minutes
numjob = 591, jobid = 898, nphotons = 100, cosz = -0.4, simulation time = 0.985561482111613 minutes
numjob = 89, jobid = 111, nphotons = 100, cosz = -0.55, simulation time = 0.9856186469395956 minutes
numjob = 550, jobid = 831, nphotons = 100, cosz = -0.55, simulation time = 0.9856284499168396 minutes
