1
exp/gaea_Peru.json;1248
ARGS
exp/gaea_Peru.json
using the following metadata file:
exp/gaea_Peru.json
number of jobs submitted:
1248
numjob = 1242, jobid = 1242, nphotons = 100000, cosz = -0.1, simulation time = 6.404817962646485 minutes
numjob = 1236, jobid = 1236, nphotons = 100000, cosz = -0.1, simulation time = 10.45681446393331 minutes
numjob = 1243, jobid = 1243, nphotons = 100000, cosz = -0.25, simulation time = 12.383484510580699 minutes
numjob = 1230, jobid = 1230, nphotons = 100000, cosz = -0.1, simulation time = 13.891887748241425 minutes
numjob = 1224, jobid = 1224, nphotons = 100000, cosz = -0.1, simulation time = 15.347012070814769 minutes
numjob = 1218, jobid = 1218, nphotons = 100000, cosz = -0.1, simulation time = 15.95777770280838 minutes
numjob = 1206, jobid = 1206, nphotons = 100000, cosz = -0.1, simulation time = 16.40689175526301 minutes
numjob = 1212, jobid = 1212, nphotons = 100000, cosz = -0.1, simulation time = 16.428931494553883 minutes
numjob = 1244, jobid = 1244, nphotons = 100000, cosz = -0.4, simulation time = 16.49303811788559 minutes
numjob = 1200, jobid = 1200, nphotons = 100000, cosz = -0.1, simulation time = 16.694789203008018 minutes
numjob = 1194, jobid = 1194, nphotons = 100000, cosz = -0.1, simulation time = 17.498324354489643 minutes
numjob = 1237, jobid = 1237, nphotons = 100000, cosz = -0.25, simulation time = 17.913275770346324 minutes
numjob = 1188, jobid = 1188, nphotons = 100000, cosz = -0.1, simulation time = 18.002701524893443 minutes
numjob = 1245, jobid = 1245, nphotons = 100000, cosz = -0.55, simulation time = 18.85237757364909 minutes
numjob = 1182, jobid = 1182, nphotons = 100000, cosz = -0.1, simulation time = 19.219026788075766 minutes
numjob = 1246, jobid = 1246, nphotons = 100000, cosz = -0.7, simulation time = 20.36437890926997 minutes
numjob = 1238, jobid = 1238, nphotons = 100000, cosz = -0.4, simulation time = 20.831374267737072 minutes
numjob = 1176, jobid = 1176, nphotons = 100000, cosz = -0.1, simulation time = 21.264560882250468 minutes
numjob = 1231, jobid = 1231, nphotons = 100000, cosz = -0.25, simulation time = 21.55242956082026 minutes
numjob = 1247, jobid = 1247, nphotons = 100000, cosz = -0.85, simulation time = 21.603896752993265 minutes
numjob = 1225, jobid = 1225, nphotons = 100000, cosz = -0.25, simulation time = 22.686694073677064 minutes
numjob = 1239, jobid = 1239, nphotons = 100000, cosz = -0.55, simulation time = 23.013815557956697 minutes
numjob = 1219, jobid = 1219, nphotons = 100000, cosz = -0.25, simulation time = 23.270888141791026 minutes
numjob = 1213, jobid = 1213, nphotons = 100000, cosz = -0.25, simulation time = 23.398686158657075 minutes
numjob = 1207, jobid = 1207, nphotons = 100000, cosz = -0.25, simulation time = 23.45369061231613 minutes
numjob = 1232, jobid = 1232, nphotons = 100000, cosz = -0.4, simulation time = 23.54125819206238 minutes
numjob = 1170, jobid = 1170, nphotons = 100000, cosz = -0.1, simulation time = 23.78144064346949 minutes
numjob = 1201, jobid = 1201, nphotons = 100000, cosz = -0.25, simulation time = 23.78178389072418 minutes
numjob = 1240, jobid = 1240, nphotons = 100000, cosz = -0.7, simulation time = 23.783772257963815 minutes
numjob = 1195, jobid = 1195, nphotons = 100000, cosz = -0.25, simulation time = 24.030107645193734 minutes
numjob = 1189, jobid = 1189, nphotons = 100000, cosz = -0.25, simulation time = 24.23473294576009 minutes
numjob = 1241, jobid = 1241, nphotons = 100000, cosz = -0.85, simulation time = 24.717578450838726 minutes
numjob = 1226, jobid = 1226, nphotons = 100000, cosz = -0.4, simulation time = 24.74613492488861 minutes
numjob = 1233, jobid = 1233, nphotons = 100000, cosz = -0.55, simulation time = 25.051998809973398 minutes
numjob = 1183, jobid = 1183, nphotons = 100000, cosz = -0.25, simulation time = 25.09101399978002 minutes
numjob = 1208, jobid = 1208, nphotons = 100000, cosz = -0.4, simulation time = 25.47073149283727 minutes
numjob = 1234, jobid = 1234, nphotons = 100000, cosz = -0.7, simulation time = 25.499748015403746 minutes
numjob = 1214, jobid = 1214, nphotons = 100000, cosz = -0.4, simulation time = 25.508049444357553 minutes
numjob = 1220, jobid = 1220, nphotons = 100000, cosz = -0.4, simulation time = 25.539476108551025 minutes
numjob = 1202, jobid = 1202, nphotons = 100000, cosz = -0.4, simulation time = 25.57217176357905 minutes
numjob = 1227, jobid = 1227, nphotons = 100000, cosz = -0.55, simulation time = 25.655508065223692 minutes
numjob = 1164, jobid = 1164, nphotons = 100000, cosz = -0.1, simulation time = 25.853701917330422 minutes
numjob = 1196, jobid = 1196, nphotons = 100000, cosz = -0.4, simulation time = 25.87959841489792 minutes
numjob = 1190, jobid = 1190, nphotons = 100000, cosz = -0.4, simulation time = 26.032632871468863 minutes
numjob = 1177, jobid = 1177, nphotons = 100000, cosz = -0.25, simulation time = 26.124706029891968 minutes
numjob = 1228, jobid = 1228, nphotons = 100000, cosz = -0.7, simulation time = 26.29845915635427 minutes
numjob = 1184, jobid = 1184, nphotons = 100000, cosz = -0.4, simulation time = 26.35511863231659 minutes
